------ulasan_bapperida_diy-------
no,id,Username,Rating,Stars,Date,Review Text
1,Ci9DQUlRQUNvZENodHljRjlvT25KblRGUkNSVnBCTWsxdGJFTjNTbmxyVEhOTFZrRRAB,Ernawan Nurhidayat,5,⭐⭐⭐⭐⭐,3 months ago,Government building
2,ChZDSUhNMG9nS0VJQ0FnSURFb05PZk53EAE,aghni susila,5,⭐⭐⭐⭐⭐,7 years ago,Closest to Malioboro street
3,ChZDSUhNMG9nS0VJQ0FnSUNlLU9IcFRBEAE,Emy Kusparyati,5,⭐⭐⭐⭐⭐,3 years ago,My workplace in the center of Malioboro street
4,ChdDSUhNMG9nS0VJQ0FnSUNlMzl5QTFBRRAB,Jesa Haryo,5,⭐⭐⭐⭐⭐,3 years ago,"accesible, inclusive support"
5,ChdDSUhNMG9nS0VJQ0FnSURjanVxVzdnRRAB,Kozara,5,⭐⭐⭐⭐⭐,6 years ago,The Yogyakarta Special Region Development Planning Agency is a planning institution that prioritizes values to achieve quality regional development.
6,ChZDSUhNMG9nS0VJQ0FnSURRMG9xU01nEAE,Intra,3,⭐⭐⭐,9 years ago,Office of the Governor of the Special Region of Yogyakarta
7,ChdDSUhNMG9nS0VJQ0FnSUN3LVBlRjl3RRAB,MUNIER RUDI INDRATNO,4,⭐⭐⭐⭐,Edited 2 years ago,Geospatial data services and research and development
8,ChdDSUhNMG9nS0VJQ0FnSURKdW9hMmxRRRAB,Irfan Tadjani,5,⭐⭐⭐⭐⭐,3 years ago,The service is friendly
9,ChZDSUhNMG9nS0VJQ0FnSUNHdW9xZ0RREAE,dwi suci hartini,5,⭐⭐⭐⭐⭐,Edited 2 years ago,The DIY Bappeda office is located on the west side of the Kepatihan Complex.
10,ChdDSUhNMG9nS0VJQ0FnSUNBMUluRzhRRRAB,Adi Tri Purnanto,5,⭐⭐⭐⭐⭐,9 years ago,The first office from the main gate of the DIY Governor's office
11,ChZDSUhNMG9nS0VJQ0FnSUNib0wzcFVREAE,soejatno,4,⭐⭐⭐⭐,2 years ago,Government Office
12,ChZDSUhNMG9nS0VJQ0FnSUN3OWZITEN3EAE,fauzan advantage,4,⭐⭐⭐⭐,9 years ago,Regional development must continue
13,ChdDSUhNMG9nS0VJQ0FnSURReHVuRmdRRRAB,Hary L. Prabowo,4,⭐⭐⭐⭐,8 years ago,Development planning agency in the Special Region of Yogyakarta
14,ChdDSUhNMG9nS0VJQ0FnSUNIaHRpZmp3RRAB,wahyu kuncoro,5,⭐⭐⭐⭐⭐,a year ago,Regional Development Planning Agency (BAPPEDA) of Yogyakarta
15,ChdDSUhNMG9nS0VJQ0FnSURBdzhXQWtBRRAB,Mochamad Hapsakti Nurhindratno,4,⭐⭐⭐⭐,7 years ago,Regional Development Planning is great
16,ChdDSUhNMG9nS0VJQ0FnSURRNWJXNHl3RRAB,Yanuar PP,5,⭐⭐⭐⭐⭐,8 years ago,The room is very clean
17,ChZDSUhNMG9nS0VJQ0FnTURBbEx1WFlBEAE,Haim Albana,5,⭐⭐⭐⭐⭐,a year ago,Excellent
18,ChRDSUhNMG9nS0VJQ0FnSURRLU1veRAB,DARMAWAN TIYANG JOGJA,5,⭐⭐⭐⭐⭐,8 years ago,Comfortable meeting place
19,ChZDSUhNMG9nS0VJQ0FnTUNJalpHSGJ3EAE,Johans Khdani,5,⭐⭐⭐⭐⭐,a year ago,     
20,ChZDSUhNMG9nS0VJQ0FnSURhbE1uUlFREAE,Lenovo Komp,5,⭐⭐⭐⭐⭐,5 years ago,Data services
21,ChdDSUhNMG9nS0VJQ0FnSURXc1liTmd3RRAB,Dian Nurpita,5,⭐⭐⭐⭐⭐,4 years ago,Stop by
22,ChdDSUhNMG9nS0VJQ0FnSUNnNHN1a3hnRRAB,asan iskandar,5,⭐⭐⭐⭐⭐,8 years ago,Cool
23,Ci9DQUlRQUNvZENodHljRjlvT2pKaFpGSnlkbFZQVUcxNk5qbEJOazVJZDB4UWRuYxAB,Aku Wulan,2,⭐⭐,a week ago,"The doorman was unfriendly, he should have explained the entrance and exit properly, but instead it was like that"
24,Ci9DQUlRQUNvZENodHljRjlvT25CTFpXeDNUVzlYVVdoUVZHVklPR2MwYmw5c01VRRAB,mbah jamin,5,⭐⭐⭐⭐⭐,a month ago,"Clean, tidy and also comfortable"
