no,id,Username,Rating,Stars,Date,Review Text
1,Ci9DQUlRQUNvZENodHljRjlvT25RNFYzVktkWFpHUjFOWVltVk5ZazFtTmxwR04zYxAB,AGUS TRI HARTANTO,4,⭐⭐⭐⭐,4 months ago,Downgrade...😔 …
2,ChdDSUhNMG9nS0VJQ0FnSUNzemZhNnZBRRAB,Ummia Ummia,5,⭐⭐⭐⭐⭐,6 years ago,Love it
3,Ci9DQUlRQUNvZENodHljRjlvT2t3eGVEbGlObGM1TVhvd2JuQkVOME54WWt0ZlYxRRAB,Andriyudha,5,⭐⭐⭐⭐⭐,6 months ago,"Honest Review:
My experience processing my transfer to the Yogyakarta Regional Government (PEMDA) at the Yogyakarta Regional Personnel Agency (BKD) office was surprisingly …"
4,Ci9DQUlRQUNvZENodHljRjlvT25GQllYaG1RbUUzTURGbFZGSjRRbEJOTldNMlltYxAB,arizka indah,5,⭐⭐⭐⭐⭐,6 months ago,"The information provided for civil servant (CPNS) registration at the Yogyakarta Regional Civil Service Agency (BKD) is very clear and easy to understand. Information is presented transparently through the website and social media, and …"
5,Ci9DQUlRQUNvZENodHljRjlvT2pRNU4yVjVaSGRCVTA1UWEzSTNiVEJ5V0VwUmNVRRAB,Mardi Djogja,5,⭐⭐⭐⭐⭐,a month ago,Almost two decades here has made a big family that will never be forgotten... always miss the atmosphere
6,Ci9DQUlRQUNvZENodHljRjlvT21saFFqRnhjR05oUzFScVNuTjZjVzVMWTJkckxYYxAB,Andri udi S,5,⭐⭐⭐⭐⭐,2 months ago,"new place, service is also good"
7,ChZDSUhNMG9nS0VJQ0FnSURrdU8zNkRnEAE,Wawa,4,⭐⭐⭐⭐,7 years ago,"A popular destination for civil servant candidates (CPNS) in the Special Region of Yogyakarta. This government agency specializes in personnel matters, including civil servants and other government employees. For information on regional …"
8,Ci9DQUlRQUNvZENodHljRjlvT2paaWRsUjZlVFZUWTBaQ00xUk1ZVFIzT0ZjeGRXYxAB,GARONG 81,5,⭐⭐⭐⭐⭐,9 months ago,"Taking participant numbers and providing exam participants with supplies. Comfortable, clean office space, polite staff, excellent service.. go full throttle BKD DIY.. (EDIQQ_ DKCPLGK)"
9,Ci9DQUlRQUNvZENodHljRjlvT2tkelUySjZiVkZSYUZsaWRUZHphRkF0WlU5TlNGRRAB,Handhika Yd,5,⭐⭐⭐⭐⭐,3 months ago,The building is new... Just saw it..
10,Ci9DQUlRQUNvZENodHljRjlvT2toS1NFOW1UWE5zV2pCUlIyYzRhbEowVGxSVE1uYxAB,QONA YA,5,⭐⭐⭐⭐⭐,a month ago,Thank you for the opportunity given
11,Ci9DQUlRQUNvZENodHljRjlvT20xQ1JUTmpXRUYyUlc5dGRqbFdWRUY0U1hkaVdYYxAB,vaneiza nur aulia,5,⭐⭐⭐⭐⭐,a month ago,friendly and informative service
