no,id,Username,Rating,Stars,Date,Review Text
1,Ci9DQUlRQUNvZENodHljRjlvT21WbFdVVk9kRGwxZDNWU01qVkRkSEZ0T1VGRk4yYxAB,Joceline Gracia Angelina,5,⭐⭐⭐⭐⭐,6 months ago,"Great and friendly staff, everything went smoothly and every hiccup was handled well and assisted by the staff. 🙏 …"
2,ChZDSUhNMG9nS0VJQ0FnTURBb0lpeGZnEAE,Dayu Purnama,5,⭐⭐⭐⭐⭐,a year ago,excellent
3,ChdDSUhNMG9nS0VJQ0FnSUNneGRpVTRnRRAB,Monica Nandahayu,4,⭐⭐⭐⭐,9 years ago,Ok
4,Ci9DQUlRQUNvZENodHljRjlvT205TmVYVmZUbVY0V0daallWOXVZa3B5VVRsTFExRRAB,Mr. Epyphanias Siadari,5,⭐⭐⭐⭐⭐,2 months ago,"I happened to be from out of town and wanted to obtain a drug-free certificate for school admission in Yogyakarta. I called and was asked to come to the location. There, we filled out the registration form on the website and then paid …"
5,ChdDSUhNMG9nS0VJQ0FnSUR6OEtHMTZBRRAB,Rifqi Akmal,5,⭐⭐⭐⭐⭐,2 years ago,"Fast service, all staff are friendly.
The price for a drug certificate is 290,000 Rupiah."
6,Ci9DQUlRQUNvZENodHljRjlvT214VE5YTlBTR0kzY1d4YVpWcDRSRlZ3ZGxSalZHYxAB,PUTRYY,5,⭐⭐⭐⭐⭐,10 months ago,"Making a drug-free certificate here is easy and fast, no drama, no drama.
It's done right away."
7,Ci9DQUlRQUNvZENodHljRjlvT25ScmVrcFVaVWRGTFhscE9XbHRhbUl5TFU4eFJYYxAB,Raynaldi Aziz Nugraha,5,⭐⭐⭐⭐⭐,3 months ago,"Fast & accurate service, the flow is clear via social media and directly"
8,Ci9DQUlRQUNvZENodHljRjlvT2pOVGVVaE9iM0UxV0V0UFUzVm1WbVYzYVZGSVdGRRAB,Rusyda Faza,5,⭐⭐⭐⭐⭐,4 months ago,"access drug-free certificates here, the staff are friendly and kind"
9,Ci9DQUlRQUNvZENodHljRjlvT2paamIwWXpPVUpXZURkemFFRlhXbUpQVFdNMVowRRAB,Ulandari Ulan,5,⭐⭐⭐⭐⭐,10 months ago,"Fast service, only hampered by a lack of expertise"
10,Ci9DQUlRQUNvZENodHljRjlvT21ZMlYzY3pSaTB5WDBacFNIRjZXamRtZW5obGVtYxAB,Reky Faturahman,4,⭐⭐⭐⭐,7 months ago,How much is the administration fee for making a drug-free certificate?
11,ChZDSUhNMG9nS0VJQ0FnSUNRa3UtMVdBEAE,aldhi fajar,5,⭐⭐⭐⭐⭐,8 years ago,"I often come here to help with events organized by BNNP... the people there are friendly. Always be successful, BNNP DIY"
