no,id,Username,Rating,Stars,Date,Review Text
1,Ci9DQUlRQUNvZENodHljRjlvT2xKeE5IWlJSR2hqY25kaVUybHFURzUzUkhwRlVtYxAB,Ivan Tiyuranto,1,⭐,2 months ago,"The security guard/public order officer at the east gate, June 2, 2026, at 8:00 AM, lacked etiquette and manners. When asked politely, his tone was harsh and impolite. Please educate him to be more friendly."
2,ChZDSUhNMG9nS0VJQ0FnSURJeU02aklREAE,Mas Imam St,5,⭐⭐⭐⭐⭐,7 years ago,"Car parking is spacious, motorbike parking is less spacious"
3,ChZDSUhNMG9nS0VJQ0FnSUNVdGNxNkR3EAE,Erma Umayah,5,⭐⭐⭐⭐⭐,7 years ago,The agency that manages the finances of the DIY Regional Government
4,ChdDSUhNMG9nS0VJQ0FnSUR3bk9yTm13RRAB,Mochamad Hapsakti Nurhindratno,4,⭐⭐⭐⭐,7 years ago,DPKAA DIY joss
5,ChZDSUhNMG9nS0VJQ0FnSUNFZ09xa2NnEAE,Dezurra U.Z,5,⭐⭐⭐⭐⭐,7 years ago,Special
6,Ci9DQUlRQUNvZENodHljRjlvT2pkcldqZzRaSEpNUzFBd1RFdG5VM1F6V0hNd1dWRRAB,jairi irawan,5,⭐⭐⭐⭐⭐,2 weeks ago,      NEW
7,Ci9DQUlRQUNvZENodHljRjlvT2xVeVlsVm1iMU15UkZSaFNFWlhkMmRUYkdGYVZtYxAB,wiwid ardhianto,3,⭐⭐⭐,2 months ago,     
8,ChdDSUhNMG9nS0VJQ0FnSURmbWZhSXN3RRAB,Indri Ika,5,⭐⭐⭐⭐⭐,a year ago,1 review · 7 photos      
9,ChZDSUhNMG9nS0VJQ0FnSUN4NDlDamF3EAE,Anangha Yasmina,5,⭐⭐⭐⭐⭐,3 years ago,     
10,ChdDSUhNMG9nS0VJQ0FnSUNDNm8ySXhnRRAB,Rendi Praditya,5,⭐⭐⭐⭐⭐,6 years ago,4 reviews      
11,ChdDSUhNMG9nS0VJQ0FnSURVMUxTcXZBRRAB,Berlian Freenanda,5,⭐⭐⭐⭐⭐,7 years ago,     
12,ChdDSUhNMG9nS0VJQ0FnSUNBX01YV3ZBRRAB,rianti w,5,⭐⭐⭐⭐⭐,8 years ago,5 reviews · 1 photo      
