no,id,Username,Rating,Stars,Date,Review Text
1,Ci9DQUlRQUNvZENodHljRjlvT21adGFEUkxPR0p3TmpCeWJGbG9lVGwwWm14VVRXYxAB,rudy salam,5,⭐⭐⭐⭐⭐,4 months ago,❣️
2,Ci9DQUlRQUNvZENodHljRjlvT2xoWE5HVXpSelI2WDFZd09XcGtjRTgzVFc1elVVRRAB,Virgo Parah,5,⭐⭐⭐⭐⭐,a year ago,"cool, fresh, comfortable, and fragrant"
3,ChZDSUhNMG9nS0VJQ0FnSUNXaE5tYUlREAE,Tommy Suryaputra,3,⭐⭐⭐,4 years ago,Service from the guard is very good though I am not sure that he is allowed to leave the guard post for doing that.
4,Ci9DQUlRQUNvZENodHljRjlvT2tsb2RtSnZVVTl5ZVdGNlh6ZzJSV293WlhvMlZHYxAB,Nur Duwi Wanto,5,⭐⭐⭐⭐⭐,8 months ago,The Best
5,Ci9DQUlRQUNvZENodHljRjlvT210UGJVZG1PRU0xZDB0dE5sbGFlbDlFZDFBd1dXYxAB,Rizky H,5,⭐⭐⭐⭐⭐,11 months ago,Excellent service
6,ChZDSUhNMG9nS0VJQ0FnSUQwZzVTY0N3EAE,Maryu dianto,4,⭐⭐⭐⭐,6 years ago,ok
7,ChdDSUhNMG9nS0VJQ0FnSURzdUtfOHdnRRAB,Cahya Gama,5,⭐⭐⭐⭐⭐,6 years ago,Sip
8,Ci9DQUlRQUNvZENodHljRjlvT2pod1pqUmZZVTFDYlc0emJscExXVTQyUWxZMlkzYxAB,Bayu Donokusumo,5,⭐⭐⭐⭐⭐,6 months ago,"The Regional Office of the BPN of the Province of DIY is good, the officers are friendly, can answer questions about the world of land, hopefully the quality will be maintained and further improved."
9,Ci9DQUlRQUNvZENodHljRjlvT2sxWWRtODNlbXhwUms1eFNUWTFjMGhKYWkxZmNsRRAB,Yolanda Dwi Agustin,5,⭐⭐⭐⭐⭐,4 months ago,Very good service and the staff are very friendly 🤩 …
10,Ci9DQUlRQUNvZENodHljRjlvT2pWSGRGWmZYMmRNY2tOQ01XVlpOR0Z0VWsxV1VVRRAB,Anggi Putri,5,⭐⭐⭐⭐⭐,4 months ago,"The staff is very friendly☺️
Good service"
11,Ci9DQUlRQUNvZENodHljRjlvT2t4UlNsZE9Vbko2ZFZOa2NrYzVkME5KVkdNeVNHYxAB,Nathasya Adelvin,5,⭐⭐⭐⭐⭐,8 months ago,"For mothers, the staff are very friendly and helpful in getting information."
12,Ci9DQUlRQUNvZENodHljRjlvT2xOZlRFSnFWVE40ZW5SWVRTMVhOVWhoZG1wTVFuYxAB,Binus TP,4,⭐⭐⭐⭐,3 months ago,Thank you. We from the department have been served well.
13,Ci9DQUlRQUNvZENodHljRjlvT2pkNVpraG9WVVZWY0hOVWFraFNNVjlGUlU1WWNIYxAB,Tiara Restu,5,⭐⭐⭐⭐⭐,5 months ago,The service is friendly and excellent
14,Ci9DQUlRQUNvZENodHljRjlvT21sZmNteE5jRmwwYkhSUWFYbERNbGhJVEZKUU5XYxAB,R. Auliasari,5,⭐⭐⭐⭐⭐,a year ago,The service is great. The staff are friendly and welcoming. 🔥 …
15,ChZDSUhNMG9nS0VOVG1uOG1FMDdDVUtREAE,Mujiyati Muji,5,⭐⭐⭐⭐⭐,a year ago,"Very comfortable, very friendly and fast service"
16,Ci9DQUlRQUNvZENodHljRjlvT21KamJXTllXRzlGWW01dGRXYzNRa1YwVHpseFVHYxAB,Agus Mindarto (Gus Mind),5,⭐⭐⭐⭐⭐,6 months ago,"Upon arrival at the DIY BPN Regional Office, you will be greeted with friendly smiles and a family-like attitude, and of course, God willing, you will be entertained and given explanations and understanding, or input regarding land matters."
17,ChZDSUhNMG9nS0VQV2Fvb0RMamJQMUlnEAE,Rita irawati,5,⭐⭐⭐⭐⭐,a year ago,"The service was very satisfying, the staff was very helpful, and the place was comfortable and very clean. What's more, all the staff provided detailed and comprehensive explanations. Thank you for the excellent service. 👍 …"
18,Ci9DQUlRQUNvZENodHljRjlvT2pORGJYaHVNbll3WVV0UlYyNXVXR1pUV21wcWJsRRAB,BimaPutri,5,⭐⭐⭐⭐⭐,6 months ago,The service is great
19,Ci9DQUlRQUNvZENodHljRjlvT2xjMVlrTTVWUzFvVm1GUVNuZDFMVGRaVmtoaVdrRRAB,Geralt Aridya,5,⭐⭐⭐⭐⭐,7 months ago,The service is very good and friendly
20,Ci9DQUlRQUNvZENodHljRjlvT21FeWMxaHZNRVpqV1VOcFIwNTBiblk0V25nd1pVRRAB,Meilista ZF,5,⭐⭐⭐⭐⭐,5 months ago,"Good service, friendly staff.
Excellent service."
21,Ci9DQUlRQUNvZENodHljRjlvT21kelJFRjRTRkYyVW1OT2RqbDVhRGM0ZG1wdExXYxAB,lussyana nuri,5,⭐⭐⭐⭐⭐,a year ago,"Clean, good service, there is a kids zone so it is kids friendly"
22,Ci9DQUlRQUNvZENodHljRjlvT2xaRGExbHBUVVk1VTNSQ1dtMUdlbG93UWtSemRtYxAB,nadia febriana,5,⭐⭐⭐⭐⭐,8 months ago,The information services provided by the DIY Regional Office are very informative.
