no,id,Username,Rating,Stars,Date,Review Text
1,ChdDSUhNMG9nS0VJQ0FnSURTMF82Y3pBRRAB,mbah karyo,5,⭐⭐⭐⭐⭐,5 years ago,good
2,ChZDSUhNMG9nS0VJQ0FnSURLcmRhM1lBEAE,Muhammad Afrizal,5,⭐⭐⭐⭐⭐,5 years ago,well
3,ChZDSUhNMG9nS0VJQ0FnSURoX2VPRVNREAE,Amir amir,5,⭐⭐⭐⭐⭐,3 years ago,representative
4,ChdDSUhNMG9nS0VJQ0FnSURReHNucmtBRRAB,Hary L. Prabowo,3,⭐⭐⭐,8 years ago,Good
5,Ci9DQUlRQUNvZENodHljRjlvT2twUE5GRTJaR2RpUlhST1VuUklaRUZ3TFdKVVVtYxAB,Ridwan hasani,5,⭐⭐⭐⭐⭐,3 months ago,"Clean, friendly...
Participating in the 2026 school fish-eating festival outreach program."
6,ChdDSUhNMG9nS0VJQ0FnSUNWOW9qXzRnRRAB,Ari Arifin,5,⭐⭐⭐⭐⭐,2 years ago,"Good service, comfortable, spacious"
7,ChZDSUhNMG9nS0VJQ0FnSUMxd0x5MWRREAE,Zacky,5,⭐⭐⭐⭐⭐,2 years ago,"Friendly, good service and comfortable"
8,ChZDSUhNMG9nS0VJQ0FnSUNJdDUyeGVnEAE,adnan iskandar,4,⭐⭐⭐⭐,7 years ago,"Yogyakarta Regency Maritime and Fisheries Service, the place is cool, there are aquascape decorations in front of the guest reception area"
9,ChZDSUhNMG9nS0VJQ0FnSURPOGVHeUJBEAE,Taufan Anggoro,5,⭐⭐⭐⭐⭐,4 years ago,The room is spacious and comfortable
10,ChdDSUhNMG9nS0VJQ0FnSUNxeVBEYnlnRRAB,Priyanto Handyono,5,⭐⭐⭐⭐⭐,5 years ago,"The security guards are friendly and responsive, the service is good 👍 …"
11,ChZDSUhNMG9nS0VJQ0FnSUNhejhheGZBEAE,Heru Waskitho,5,⭐⭐⭐⭐⭐,5 years ago,The staff are friendly and provide detailed fisheries information.
12,ChdDSUhNMG9nS0VJQ0FnSURndXV5UXhBRRAB,Dangau Prasasti,5,⭐⭐⭐⭐⭐,10 years ago,"There is an open junior chess tournament on May 1, 2016. Participants are elementary, middle, and high school students. Participants are from Sleman, Gunungkidul, and Yogyakarta."
13,ChdDSUhNMG9nS0VJQ0FnSUN2Ny1yR3RRRRAB,Dian Kusuma Dewi,5,⭐⭐⭐⭐⭐,a year ago,"The service is okay, the staff are quite responsive,"
14,ChdDSUhNMG9nS0VJQ0FnSUNKeExfdHZ3RRAB,Andry Purwanto,5,⭐⭐⭐⭐⭐,3 years ago,the office is comfortable
15,ChZDSUhNMG9nS0VJQ0FnSUNRaGJxdFNBEAE,Siti Nienieng,5,⭐⭐⭐⭐⭐,8 years ago,This is a very good program to encourage the people of Jogja to enjoy eating fish.
16,ChdDSUhNMG9nS0VJQ0FnSUNBM3BIUjlRRRAB,Local Guide Fotografer,3,⭐⭐⭐,9 years ago,"Yogyakarta Maritime Affairs and Fisheries Office. It's a bit hidden, off the main road, but still easy to find."
17,ChZDSUhNMG9nS0VJQ0FnSUNLeE1qcExREAE,Rudi Abat,4,⭐⭐⭐⭐,5 years ago,"The office is clean and comfortable, during the pandemic they implemented health protocols"
18,ChZDSUhNMG9nS0VJQ0FnSURUd092SmZnEAE,aditya yuda Pranata,5,⭐⭐⭐⭐⭐,2 years ago,"Thank you for your cooperation, sir/madam."
19,ChdDSUhNMG9nS0VJQ0FnSUNnMFlpd2dRRRAB,Kadri Kadri,1,⭐,8 years ago,1 week UPR training at DKP Jogja
20,ChdDSUhNMG9nS0VJQ0FnSUNHbHJyMzNBRRAB,Parikesit Prasty S,5,⭐⭐⭐⭐⭐,4 years ago,Friendly and fast service
21,ChdDSUhNMG9nS0VJQ0FnSURBazlxcXpnRRAB,anton legowo,5,⭐⭐⭐⭐⭐,8 years ago,FUN
22,ChdDSUhNMG9nS0VJQ0FnSUNLcEltLXRBRRAB,Thifal Dwipurnadhani,5,⭐⭐⭐⭐⭐,Edited 5 years ago,Clean and comfortable
23,ChdDSUhNMG9nS0VJQ0FnSUR1LXJpaXdnRRAB,Dedy Wahyu Ardyanto,5,⭐⭐⭐⭐⭐,4 years ago,     
24,ChZDSUhNMG9nS0VJQ0FnSUM4Z3BPVkZREAE,ENDAH ESTI ANSHORY,5,⭐⭐⭐⭐⭐,6 years ago,     
25,ChZDSUhNMG9nS0VJQ0FnSUNtaEs2UVVBEAE,jagoan menoreh,4,⭐⭐⭐⭐,4 years ago,friendly security guard
26,ChdDSUhNMG9nS0VJQ0FnSUNndXN6OGxBRRAB,Agus Fitriyanto,1,⭐,8 years ago,There will be memories here
27,ChZDSUhNMG9nS0VJQ0FnSUNxelBielN3EAE,Mufti Khusaeni,5,⭐⭐⭐⭐⭐,5 years ago,Good
28,Ci9DQUlRQUNvZENodHljRjlvT25wUGNHUkhSR0kyUmpWQmFVSkpia3M0VDJSa1ZYYxAB,FERDIAN ADY SUDRAJAT 230103101,5,⭐⭐⭐⭐⭐,22 hours ago,1 review · 1 photo       NEW
29,Ci9DQUlRQUNvZENodHljRjlvT2tGbFZUbHdUVWhmZEcxWlltMXhkMlZRTmxCSmRYYxAB,Indra Irawanto,5,⭐⭐⭐⭐⭐,2 months ago,8 reviews      
30,Ci9DQUlRQUNvZENodHljRjlvT21aU1MxZENjVk5vZEUweFR6UlJOVXg1ZVhNMGRHYxAB,NdahBina rahma,5,⭐⭐⭐⭐⭐,3 months ago,     
31,Ci9DQUlRQUNvZENodHljRjlvT2xaTVRETTVURzFyVkhsUlVGSTNVazlOUW5wTk5rRRAB,Rian Saputra,5,⭐⭐⭐⭐⭐,7 months ago,     
32,Ci9DQUlRQUNvZENodHljRjlvT2pRM1ZFODBWMTk2TjJNM1ZGazJZMWMxTVZWNmJXYxAB,Cindy imuttt,5,⭐⭐⭐⭐⭐,8 months ago,     
33,ChZDSUhNMG9nS0VJQ0FnSURmamE3SEtnEAE,Purnomo Sutanto,5,⭐⭐⭐⭐⭐,a year ago,     
34,ChZDSUhNMG9nS0VJQ0FnSUNsc3JPRkpnEAE,Yulia Reni,4,⭐⭐⭐⭐,2 years ago,     
35,ChZDSUhNMG9nS0VJQ0FnSUNxbGV1T1RnEAE,Tolok Triasih,5,⭐⭐⭐⭐⭐,5 years ago,2 reviews      
36,ChdDSUhNMG9nS0VJQ0FnSUNxbGV1VzFRRRAB,Mojaa,5,⭐⭐⭐⭐⭐,5 years ago,1 review      
37,ChdDSUhNMG9nS0VJQ0FnSUNxbUs2TDFnRRAB,Agung Prasetyo,5,⭐⭐⭐⭐⭐,5 years ago,1 review      
38,ChdDSUhNMG9nS0VJQ0FnSURTaTh5SXdBRRAB,Alif Banyumili,4,⭐⭐⭐⭐,5 years ago,     
39,ChdDSUhNMG9nS0VJQ0FnSURTbGJ5dHBRRRAB,Tiara Ramadhani,5,⭐⭐⭐⭐⭐,5 years ago,7 reviews · 5 photos      
40,ChZDSUhNMG9nS0VJQ0FnSURTb29ybU5BEAE,Mariona lm,4,⭐⭐⭐⭐,5 years ago,     
41,ChZDSUhNMG9nS0VJQ0FnSUNTaV9MdkhBEAE,Trie Miyarno,5,⭐⭐⭐⭐⭐,5 years ago,     
42,ChdDSUhNMG9nS0VJQ0FnSUQ4azczcG13RRAB,Service AC Jogja-Karya Graha Utama,5,⭐⭐⭐⭐⭐,6 years ago,     
43,ChZDSUhNMG9nS0VJQ0FnSUQ4eHJ2VUdnEAE,Harian suan,1,⭐,6 years ago,     
44,ChZDSUhNMG9nS0VJQ0FnSUNvd0piSWJnEAE,Evie Sumarno,1,⭐,7 years ago,     
45,ChdDSUhNMG9nS0VJQ0FnSURJbnRDbzF3RRAB,agus gunawan,5,⭐⭐⭐⭐⭐,7 years ago,6 reviews      
46,ChdDSUhNMG9nS0VJQ0FnSUN3dmRIaDBnRRAB,Teuku Arfa Tanjung,5,⭐⭐⭐⭐⭐,8 years ago,     
47,ChdDSUhNMG9nS0VJQ0FnSURRMEktem9nRRAB,Danur Windo,5,⭐⭐⭐⭐⭐,8 years ago,     
48,ChZDSUhNMG9nS0VJQ0FnSURBdGNDN2ZnEAE,Ringgow m,4,⭐⭐⭐⭐,9 years ago,1 review · 2 photos      
49,ChdDSUhNMG9nS0VJQ0FnSUNnaTlXeHZRRRAB,Asmadi Amiruddin,5,⭐⭐⭐⭐⭐,9 years ago,5 reviews      
