no,id,Username,Rating,Stars,Date,Review Text
1,ChdDSUhNMG9nS0VJQ0FnSUNxdEpTVGdBRRAB,Yuliana Dik Yull,4,⭐⭐⭐⭐,5 years ago,Sharing and learning about technology would be good move if you do here since the people who are competent about those field will help you. They have such as a working space for those who need extra internet connection and its for free. …
2,ChZDSUhNMG9nS0VJQ0FnSUNjcVpEOEFREAE,Asppehorti NKRI,5,⭐⭐⭐⭐⭐,6 years ago,"This is a good place for social media activist meet up. Facilitated by government and it's a free service. We can use this place for learning group, Focus Grup Discussion, mini seminar with free high speed wifi."
3,ChdDSUhNMG9nS0VJQ0FnSURDbk9LWmxnRRAB,Faradina Harumi,5,⭐⭐⭐⭐⭐,5 years ago,"great place, great office"
4,Ci9DQUlRQUNvZENodHljRjlvT2xGNGJXeEJjbGhXYjNWcFZHc3dWVTloTWpkSlNuYxAB,Imam Suharjo,5,⭐⭐⭐⭐⭐,3 months ago,"This is our umpteenth time working here. The office is located in the city center and is quite spacious and cool, with many large trees.
There's a hall for seminars with a capacity of around 80 people."
5,Ci9DQUlRQUNvZENodHljRjlvT213NVdXcG5RMWxrYkZWamRGOHRkRkJ0VERaWWFHYxAB,Mukti Adhy,2,⭐⭐,4 months ago,"Please fix the E-Lapor website.
1. I want to report using Google email, but it doesn't work.
2. There's no error message explaining why the report failed. …"
6,ChdDSUhNMG9nS0VJQ0FnSUNnOGU2QmdRRRAB,Faiz Perjuangan,5,⭐⭐⭐⭐⭐,7 years ago,"Finally, I can come here, and I can join a cool office. They have a coworking space that just launched in September 2018, if I'm not mistaken. It's said to be the first coworking space that's friendly to people with disabilities. So, …"
7,ChZDSUhNMG9nS0VJQ0FnSUNtcFlxNlNBEAE,Rudi Abat,4,⭐⭐⭐⭐,4 years ago,"The Yogyakarta Communications and Information Agency is located on Jalan Brigjend Katamso, South THR. I remember the free internet cafes here for students and the general public. The location is very strategic."
8,ChZDSUhNMG9nS0VJQ0FnSUR5b2IySmFnEAE,Fahmi Husein,5,⭐⭐⭐⭐⭐,5 years ago,"Finally arrived at the DIY Communications and Information Service, the service was friendly and to comply with health protocols, when I visited here the main door was temporarily closed."
9,ChZDSUhNMG9nS0VJQ0FnSUNvMXNfNUJnEAE,Fatya Zaki Ubaidillah,5,⭐⭐⭐⭐⭐,7 years ago,"+ Ample parking
+ Usually has events …"
10,ChZDSUhNMG9nS0VJQ0FnSUMwM0xEb2FREAE,Admin,4,⭐⭐⭐⭐,6 years ago,"There was an event so we came here, and it turned out to be a great place. The event was in the Sadewa room. The committee wanted to use a microphone, but there wasn't one. 😁 …"
