no,id,Username,Rating,Stars,Date,Review Text
1,Ci9DQUlRQUNvZENodHljRjlvT21WcmVtSXlOME5aTWpoS1QyaFZhWGhKYVRWS09IYxAB,Muhammad sutrisno Novianugraha,1,⭐,3 months ago,"To the Head of the Yogyakarta Provincial Public Order Agency (Satpol PP) and other authorities, we would like to inform you that in order to arrest and prosecute beggars carrying homemade firearms, one-handed or disabled begging at the …"
2,ChZDSUhNMG9nS0VJQ0FnSURIajdPTldBEAE,anita febriani,5,⭐⭐⭐⭐⭐,a year ago,"Please, please advise the Indomart and Alfamart parking attendants along the south side of the road. They are very annoying. Please ask the local government to provide training for these parking attendants so they can change professions. We, the community, are fed up with thuggery under the guise of parking attendants."
3,ChZDSUhNMG9nS0VJQ0FnSURqMi1HMktnEAE,hujan deras,1,⭐,2 years ago,"The vendors, food stalls, and street vendors on the sidewalks should be regulated. Even though those who want to walk on the sidewalks are covered with benches, chairs, and carts. What's more, people who can't see have to go down on the …"
4,ChdDSUhNMG9nS0VJQ0FnSURvMktpNzJRRRAB,Diki Ahmad,5,⭐⭐⭐⭐⭐,7 years ago,"The place is easily accessible because it is in the city, the parking area is also spacious."
5,ChdDSUhNMG9nS0VJQ0FnSURob1l6WnFnRRAB,Abdullah Alfarizi,1,⭐,3 years ago,"Until 10 pm on March 10, 2023, there was still dangdut music, disturbing the comfort of the surrounding community.... they said they were COMMUNITY PROTECTORS.... what the heck @pemkot Yogyakarta"
6,ChZDSUhNMG9nS0VJQ0FnSUQ2NWFpTFZ3EAE,azwar andreas,5,⭐⭐⭐⭐⭐,4 years ago,Is it permissible to hold a wedding reception at Graha Tasnem? The problem is that my nephew wants to hold a wedding and reception at Graha Tasnem behind Purawisata in the morning. I don't know how many people there will be... thank you.
7,ChZDSUhNMG9nS0VJQ0FnSURjaVA3TlVnEAE,Agung Bhaktiyar,5,⭐⭐⭐⭐⭐,6 years ago,"I want to ask, Mr. Public Order Officer, is it okay to play futsal? God willing, we'll maintain a distance of 1.5 meters. Excuse me, sir."
8,ChdDSUhNMG9nS0VJQ0FnSUNlcEktcThRRRAB,Ilham Kurniawan Adi,1,⭐,3 years ago,"At least if you open the parking lot, pay attention to it sir."
9,ChdDSUhNMG9nS0VJQ0FnSURBMzZES3hBRRAB,Gradaz Farm,5,⭐⭐⭐⭐⭐,9 years ago,The staff are friendly to the public... Thank you for your service.
10,ChdDSUhNMG9nS0VJQ0FnSURBNTc2WDlRRRAB,wahyu kuncoro,3,⭐⭐⭐,8 years ago,DIY Provincial PP Office
11,Ci9DQUlRQUNvZENodHljRjlvT2tkQ2FFRlpkakk1U0daa1RrRXhVRkE0TTFseWJHYxAB,Oktoramadhan Kafil,5,⭐⭐⭐⭐⭐,a year ago,"Wow, that's fast"
12,ChdDSUhNMG9nS0VJQ0FnSURnMl9xZzBRRRAB,Ali Yusdi,5,⭐⭐⭐⭐⭐,8 years ago,Relaxing again
13,ChZDSUhNMG9nS0VJQ0FnSUNhel82bk1BEAE,Wasiyanta,5,⭐⭐⭐⭐⭐,5 years ago,Thank God
14,Ci9DQUlRQUNvZENodHljRjlvT2pGS09GbzFVbFEyYTJKd05HcDJRa000VEdKYVFYYxAB,Cornelius Felix,1,⭐,2 weeks ago,"Sorry, to the Danurejan Public Order Agency. Don't just report a one-sided incident that cuts off people's livelihoods at the Tegalpanggung intersection. Are those reporting it also complying with the rules? Cars are parked on the side of …"
15,Ci9DQUlRQUNvZENodHljRjlvT205ZlZWQnRSelZWVHpGeGJFOU9ObEU0ZVcxck9YYxAB,Iryawan,4,⭐⭐⭐⭐,11 months ago,     
16,Ci9DQUlRQUNvZENodHljRjlvT2xGSFlWZFhOR1JHWkd4bVQyd3hRM0JOYzE4MFoyYxAB,Manusia biasa 1,5,⭐⭐⭐⭐⭐,a year ago,6 reviews · 1 photo      
17,ChZDSUhNMG9nS0VJQ0FnSUNUNVotUlpnEAE,Irfan Fahruzi,1,⭐,2 years ago,6 reviews · 1 photo      
18,ChZDSUhNMG9nS0VJQ0FnSURlbTZyRmZ3EAE,Mohammad Zaenal,5,⭐⭐⭐⭐⭐,3 years ago,2 reviews      
19,ChZDSUhNMG9nS0VJQ0FnSUR1dnNYNlRREAE,Lucas Podolsky,5,⭐⭐⭐⭐⭐,4 years ago,     
20,ChdDSUhNMG9nS0VJQ0FnSUN1cGVmRnJnRRAB,Alifah Nur Octavian,5,⭐⭐⭐⭐⭐,4 years ago,5 reviews · 1 photo      
21,ChZDSUhNMG9nS0VJQ0FnSUM2MmVtcFhnEAE,Faiz Alfarizky Tofani,1,⭐,4 years ago,     
22,ChdDSUhNMG9nS0VJQ0FnSURLNV8ydDNBRRAB,gideon gardiawan,1,⭐,5 years ago,     
23,ChZDSUhNMG9nS0VJQ0FnSURndE5hNUJREAE,Ice Lemontea,5,⭐⭐⭐⭐⭐,8 years ago,2 reviews · 10 photos      
24,ChdDSUhNMG9nS0VJQ0FnSURBM2VMcDZBRRAB,Zam Zawi,5,⭐⭐⭐⭐⭐,9 years ago,     
