id_ulasan,instansi_id,instansi_nama,sumber,penulis,teks,rating,tanggal,url,scraped_at
e49aed6ade88a65e3255f903,dishub,Dinas Perhubungan DIY,berita,Suarajogja.id,"Tuntut Pelunasan Hak Pekerja Trans Jogja, KSBSI Desak Dishub DIY dan PT AMI Buka Ruang Mediasi - Suarajogja.id. <a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxNR2pDZmhRek5ZRTRmeVZ2SC1Dck9pN2ZRaFpEVzVyVXRXeE94YkFLYzBoU1BVT2Jud2tjNkx6X084aXltWmgtQUMxVjZFVmpNOTluYUZ6R1ZMam9HQWFBYjA2LXBURnZKZEx0RVRIVVNIOFhGU2tCV2d6YTdEUUNLYUVpX014dmMxaWk5SmpBVTFBblBzYlAwSkpCWHBwWnIwMzBRMjZWNHo3dVIzNmhlYjFHbEtBbFltTFl0a3pFd2o0dnBtUDJKTVNGRnlQY3cwRVFmdXF0d9IB3AFBVV95cUxQTW9hYVRDdFhmWDBLU3VvYXZCQlljRWctVFFOcGFpb0JKUy1jaE13LXl3bVM2WmlfNThiV1FDUHR2VC1RaVFvWmJLb3ZHYUhIbXZqWXhjUXNMNmdmc2N2VmRzcXFEQlRuMnFhRmtfbjdKNzZ2S3dSTGxFSjY5LVhkbzFHVnpsdFJrZFRCQUs0b2lOVWpfRUxqYjJLNHpsZ0JubU9yRHB6SFFQRGJUSjZDSHhpYzFwTFdBYk53Qk1hZlduRF94Rm1fdjRwQ0V1TERuU2ZHazN4bm9hU0NE?oc=5"" target=""_blank"">Tuntut Pelunasan Hak Pekerja Trans Jogja, KSBSI Desak Dishub DIY dan PT AMI Buka Ruang Mediasi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Suarajogja.id</font>",,2026-08-18T13:28:07+00:00,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNR2pDZmhRek5ZRTRmeVZ2SC1Dck9pN2ZRaFpEVzVyVXRXeE94YkFLYzBoU1BVT2Jud2tjNkx6X084aXltWmgtQUMxVjZFVmpNOTluYUZ6R1ZMam9HQWFBYjA2LXBURnZKZEx0RVRIVVNIOFhGU2tCV2d6YTdEUUNLYUVpX014dmMxaWk5SmpBVTFBblBzYlAwSkpCWHBwWnIwMzBRMjZWNHo3dVIzNmhlYjFHbEtBbFltTFl0a3pFd2o0dnBtUDJKTVNGRnlQY3cwRVFmdXF0d9IB3AFBVV95cUxQTW9hYVRDdFhmWDBLU3VvYXZCQlljRWctVFFOcGFpb0JKUy1jaE13LXl3bVM2WmlfNThiV1FDUHR2VC1RaVFvWmJLb3ZHYUhIbXZqWXhjUXNMNmdmc2N2VmRzcXFEQlRuMnFhRmtfbjdKNzZ2S3dSTGxFSjY5LVhkbzFHVnpsdFJrZFRCQUs0b2lOVWpfRUxqYjJLNHpsZ0JubU9yRHB6SFFQRGJUSjZDSHhpYzFwTFdBYk53Qk1hZlduRF94Rm1fdjRwQ0V1TERuU2ZHazN4bm9hU0NE?oc=5,2026-08-21T03:10:24.960819+00:00
60e29c02db9b4a5b3e218b1a,dishub,Dinas Perhubungan DIY,berita,ANTARA News Yogyakarta,"Dishub Bantul tindak jukir ilegal di Lapangan Trirenggo - ANTARA News Yogyakarta. <a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxOOXR0VnVCZkV5YU1EXzB5cXpILWE1Q1lkbzFLUEtmTk1oOHJxcHpNcGFPYWVBWUcxVFZ0ZWJfTTdNQlVnTVhuMTlkWXVNc2taUGJaRms1cVp6RmlPYkNKSi16c3N0amRkVlBPY2dTdkFvRkZoRm1OdWlFa0EtTENEOWJTOXhlWXcwbDlSTTVJN0NTd1dicDJUczJqRDBxMUU?oc=5"" target=""_blank"">Dishub Bantul tindak jukir ilegal di Lapangan Trirenggo</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ANTARA News Yogyakarta</font>",,2026-08-18T10:27:00+00:00,https://news.google.com/rss/articles/CBMinwFBVV95cUxOOXR0VnVCZkV5YU1EXzB5cXpILWE1Q1lkbzFLUEtmTk1oOHJxcHpNcGFPYWVBWUcxVFZ0ZWJfTTdNQlVnTVhuMTlkWXVNc2taUGJaRms1cVp6RmlPYkNKSi16c3N0amRkVlBPY2dTdkFvRkZoRm1OdWlFa0EtTENEOWJTOXhlWXcwbDlSTTVJN0NTd1dicDJUczJqRDBxMUU?oc=5,2026-08-21T03:10:24.960819+00:00
028581c838145be8ba0d7f40,dishub,Dinas Perhubungan DIY,berita,wartajogja.id,"Target Pendapatan Dishub Kota Yogyakarta Dipangkas Nyaris Rp900 Juta, DPRD Desak Audit Eksternal dan Digitalisasi Tata Kelola Parkir - wartajogja.id. <a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTFBIS1U5SkM1LVRIelQwa1N1X2k2WU16NlVaUUl5emFPOWRLekdISld6Zl9paWJ5YUxPUXhEU01iZGYyMVRoQkd2OXl2b0VrTmdyZ1dqR3BtdGNYWklBN1IwWTZsZGFwUjk4U1IwVG5RTWlkWTYyb3Jv?oc=5"" target=""_blank"">Target Pendapatan Dishub Kota Yogyakarta Dipangkas Nyaris Rp900 Juta, DPRD Desak Audit Eksternal dan Digitalisasi Tata Kelola Parkir</a>&nbsp;&nbsp;<font color=""#6f6f6f"">wartajogja.id</font>",,2026-08-18T07:31:00+00:00,https://news.google.com/rss/articles/CBMid0FVX3lxTFBIS1U5SkM1LVRIelQwa1N1X2k2WU16NlVaUUl5emFPOWRLekdISld6Zl9paWJ5YUxPUXhEU01iZGYyMVRoQkd2OXl2b0VrTmdyZ1dqR3BtdGNYWklBN1IwWTZsZGFwUjk4U1IwVG5RTWlkWTYyb3Jv?oc=5,2026-08-21T03:10:24.960819+00:00
567044024608c27739bc600f,dishub,Dinas Perhubungan DIY,berita,Media Center Sembada,"Moyudan dan Dishub DIY Tangani Lampu Jalan Padam di Jalur Klangon–Tempel - Media Center Sembada. <a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxQM01sTVl1UXU5ckpKb0Z4Q3hHbkM0ekpjMG9XZElEczM5T0xWaWxUOTVCblozN3dJY3JIc2dxZjc2Ymh0eExYMzVkVmU0QUFtOXUyVlN5ZV9EUUF2RmFHcEo2akVaZ0p4TXdjREM5cHpoSEpxQzBQakp6TEE2ZTNWaDJjYjdzVl9HX0FhUmdIVFhNZjNMUkNOMzNBVUoyUkZKUWxzWHRQdHk4Tm5VeF9Ha01rYk03LUFJVDNBRA?oc=5"" target=""_blank"">Moyudan dan Dishub DIY Tangani Lampu Jalan Padam di Jalur Klangon–Tempel</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Media Center Sembada</font>",,2026-02-10T08:00:00+00:00,https://news.google.com/rss/articles/CBMivAFBVV95cUxQM01sTVl1UXU5ckpKb0Z4Q3hHbkM0ekpjMG9XZElEczM5T0xWaWxUOTVCblozN3dJY3JIc2dxZjc2Ymh0eExYMzVkVmU0QUFtOXUyVlN5ZV9EUUF2RmFHcEo2akVaZ0p4TXdjREM5cHpoSEpxQzBQakp6TEE2ZTNWaDJjYjdzVl9HX0FhUmdIVFhNZjNMUkNOMzNBVUoyUkZKUWxzWHRQdHk4Tm5VeF9Ha01rYk03LUFJVDNBRA?oc=5,2026-08-21T03:10:24.960819+00:00
8d4d41b0a701e0591dd11849,dishub,Dinas Perhubungan DIY,berita,Suara Merdeka Kedu,"Ratusan Pengemudi Betor Geruduk Dishub DIY, Tolak Penutupan Jalan Malioboro - Suara Merdeka Kedu - Suara Merdeka Kedu. <a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxPcFBXRmt1WVRteExKY3JZTlZ0NjVkUkZLeHJOUmhyZmJWQ2R5WGRLaGpPQWlOdW9UR3JqeW1oTlBtMEpOWmtkSFJoR3FLWS1wMmVZaXdZdkJXVzhqOVM3SjdObmJxWkl2WHJqa01YNWVkRmRDMThJMndaTno0dVJPSkZWUnktYmwzUkppQ3hPMXFocU96T1NhRENsS3NUWmhiNFBJQ19IYnRGdXdfakp1N2FULXZySnlyblBIeHJNOC15TWVV0gHKAUFVX3lxTE9CZVlTanExQ1JpdThaZ1doRUdnTmc3ZGVYby1wX2x4ejhIUEN6RnFyUWFwQm9XTHpCM296dzM1MkdYSzdmVHNjNkhUZk54YWlIRUo5WTVreElBakp5N3p6SmpPMnJDOV96UnZBbUZiVXhaOFU3UURmRkZVZnZTbnVFRzZkMUhBVXhvRC1qSVBZQ1ZqZkgybW9qN1ZENW0yaWZsTWozT1N2cDZzWEFkX1VCSGxCVlhfejFMenlycWRjWVA2NTZ4cGhoN2c?oc=5"" target=""_blank"">Ratusan Pengemudi Betor Geruduk Dishub DIY, Tolak Penutupan Jalan Malioboro - Suara Merdeka Kedu</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Suara Merdeka Kedu</font>",,2026-07-30T06:30:17+00:00,https://news.google.com/rss/articles/CBMixAFBVV95cUxPcFBXRmt1WVRteExKY3JZTlZ0NjVkUkZLeHJOUmhyZmJWQ2R5WGRLaGpPQWlOdW9UR3JqeW1oTlBtMEpOWmtkSFJoR3FLWS1wMmVZaXdZdkJXVzhqOVM3SjdObmJxWkl2WHJqa01YNWVkRmRDMThJMndaTno0dVJPSkZWUnktYmwzUkppQ3hPMXFocU96T1NhRENsS3NUWmhiNFBJQ19IYnRGdXdfakp1N2FULXZySnlyblBIeHJNOC15TWVV0gHKAUFVX3lxTE9CZVlTanExQ1JpdThaZ1doRUdnTmc3ZGVYby1wX2x4ejhIUEN6RnFyUWFwQm9XTHpCM296dzM1MkdYSzdmVHNjNkhUZk54YWlIRUo5WTVreElBakp5N3p6SmpPMnJDOV96UnZBbUZiVXhaOFU3UURmRkZVZnZTbnVFRzZkMUhBVXhvRC1qSVBZQ1ZqZkgybW9qN1ZENW0yaWZsTWozT1N2cDZzWEFkX1VCSGxCVlhfejFMenlycWRjWVA2NTZ4cGhoN2c?oc=5,2026-08-21T03:10:24.960819+00:00
cdc8b75a66462565db025209,dishub,Dinas Perhubungan DIY,berita,detikcom,"Respons Dishub soal Bentor Minta Boleh Lewat Saat Malioboro Full Pedestrian - detikcom. <a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxQUkpRejlDb1I3WmZyRVRvWmphc0pDWFcxWk04ZUtBdkhRWmJuVmtfVnhsdzVJOVQ3Rk03THkwQ01hWTB4TU55cjlqN19manpGV25tT1EzZWJEX2hCV3NQX3E1b3piVWtCYjZQSlFRNGR4M1NkMTRMVi0tVFFXQThYek9OSExielBES0NnWkkwX092VnR6andDZ3R3X21VbkdyNXN5UUozcHNZRHVBbHplWHduc2FfakYzUUtXVdIBwgFBVV95cUxNTlVwR0JLSzNSY3hWT2kweFBxdHN2YVFqWWJEMDRQVFA3SGZqUGZiSTZodjBvODA1UXRPc2hONmotRU9UbTJVeFdsMkxNNVc2a0NhQ0oweHdwYnJSNUE4TlNrZUxoZHU5dTNQRmVkeTlsWHpTaGszekl5NE9lM0hmckNMUEEyTVFjdGg3aE9uSEFsMUNON0VaOXdrQzQtQmRIMUR1UGktV21TaGNGeU50NUZXdkpKNWY4bDVSVUYzWnM3dw?oc=5"" target=""_blank"">Respons Dishub soal Bentor Minta Boleh Lewat Saat Malioboro Full Pedestrian</a>&nbsp;&nbsp;<font color=""#6f6f6f"">detikcom</font>",,2026-07-31T07:00:00+00:00,https://news.google.com/rss/articles/CBMivAFBVV95cUxQUkpRejlDb1I3WmZyRVRvWmphc0pDWFcxWk04ZUtBdkhRWmJuVmtfVnhsdzVJOVQ3Rk03THkwQ01hWTB4TU55cjlqN19manpGV25tT1EzZWJEX2hCV3NQX3E1b3piVWtCYjZQSlFRNGR4M1NkMTRMVi0tVFFXQThYek9OSExielBES0NnWkkwX092VnR6andDZ3R3X21VbkdyNXN5UUozcHNZRHVBbHplWHduc2FfakYzUUtXVdIBwgFBVV95cUxNTlVwR0JLSzNSY3hWT2kweFBxdHN2YVFqWWJEMDRQVFA3SGZqUGZiSTZodjBvODA1UXRPc2hONmotRU9UbTJVeFdsMkxNNVc2a0NhQ0oweHdwYnJSNUE4TlNrZUxoZHU5dTNQRmVkeTlsWHpTaGszekl5NE9lM0hmckNMUEEyTVFjdGg3aE9uSEFsMUNON0VaOXdrQzQtQmRIMUR1UGktV21TaGNGeU50NUZXdkpKNWY4bDVSVUYzWnM3dw?oc=5,2026-08-21T03:10:24.960819+00:00
961f9ceb8b3e52f0c6845ea8,dishub,Dinas Perhubungan DIY,berita,Kompas.com,"Dishub DIY Akan Batasi Kendaraan di Jeron Beteng Demi Zona Rendah Emisi - Kompas.com. <a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPbzNPSmlTLXBpNVJ1bGVXVEdicVdlZ2xkOTNMQzJtS2pHZ1k2Qk5oUDEzYVBvU0lvY01ZeC1rWjU2LXlZNm1oMk9PTzZ3Z2o3bG0wU25jempDWm1OSHNfcDg1RUszZEVwZjhtV2RSbG4xWktZSDlJNkNkRjFHZll3VnozbF9VTURpd1NYaHItb2VwNTluTlVwRnlYWGthZk5HMUdkdjhBYWdwNjdXcVppdVlkdm9YcjdWakZickM4Qzl3X2ZJS21RZXpTbVFFVlJ5blE?oc=5"" target=""_blank"">Dishub DIY Akan Batasi Kendaraan di Jeron Beteng Demi Zona Rendah Emisi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kompas.com</font>",,2026-02-02T08:00:00+00:00,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPbzNPSmlTLXBpNVJ1bGVXVEdicVdlZ2xkOTNMQzJtS2pHZ1k2Qk5oUDEzYVBvU0lvY01ZeC1rWjU2LXlZNm1oMk9PTzZ3Z2o3bG0wU25jempDWm1OSHNfcDg1RUszZEVwZjhtV2RSbG4xWktZSDlJNkNkRjFHZll3VnozbF9VTURpd1NYaHItb2VwNTluTlVwRnlYWGthZk5HMUdkdjhBYWdwNjdXcVppdVlkdm9YcjdWakZickM4Qzl3X2ZJS21RZXpTbVFFVlJ5blE?oc=5,2026-08-21T03:10:24.960819+00:00
0b6a54ea1ce9f84423c61326,dishub,Dinas Perhubungan DIY,berita,Pemerintah Kota Yogyakarta,"Pemkot Yogya Akan Upayakan Percepatan Transformasi ke Becak Listrik Lewat APBD - Pemerintah Kota Yogyakarta. <a href=""https://news.google.com/rss/articles/CBMiXEFVX3lxTE1VNjlrc2stN1lyVkhYbl95U182Q1h4dzdaU01VS0x1VjkxMDdaTU55WWJscVFnekNBLVZwdHdWaU16M1ZxN0hIYk50czVMM1lXSDhnRFNlYkI1ak1M?oc=5"" target=""_blank"">Pemkot Yogya Akan Upayakan Percepatan Transformasi ke Becak Listrik Lewat APBD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pemerintah Kota Yogyakarta</font>",,2026-06-05T07:00:00+00:00,https://news.google.com/rss/articles/CBMiXEFVX3lxTE1VNjlrc2stN1lyVkhYbl95U182Q1h4dzdaU01VS0x1VjkxMDdaTU55WWJscVFnekNBLVZwdHdWaU16M1ZxN0hIYk50czVMM1lXSDhnRFNlYkI1ak1M?oc=5,2026-08-21T03:10:24.960819+00:00
bf0195f917056e6e50e45bff,dishub,Dinas Perhubungan DIY,berita,Harian Jogja,"Dishub DIY Siapkan Rekayasa Parkir Jelang Malioboro Full Pedestrian - Harian Jogja. <a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxOeXNBMzYxZERzT0VabmVFSVJ4MlBveUMweTdwa1lHTVZ6ZUFPVmxaUlJ2RTRCc3lKSmlOSUJlY1ZESUpBbEZhQkpKVURBNnRFSmQzbFA2a2taU2toZXZSLVVib3VGUVVhWjhGWlR6OWxFRWJYZmxvVjk2cVFKT0N6dXBXM195Y3N5X1pIQnA3cHVKVVBpZkdSTVpVcHQydnBteExfU3ZBaDM?oc=5"" target=""_blank"">Dishub DIY Siapkan Rekayasa Parkir Jelang Malioboro Full Pedestrian</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Harian Jogja</font>",,2026-07-02T07:00:00+00:00,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOeXNBMzYxZERzT0VabmVFSVJ4MlBveUMweTdwa1lHTVZ6ZUFPVmxaUlJ2RTRCc3lKSmlOSUJlY1ZESUpBbEZhQkpKVURBNnRFSmQzbFA2a2taU2toZXZSLVVib3VGUVVhWjhGWlR6OWxFRWJYZmxvVjk2cVFKT0N6dXBXM195Y3N5X1pIQnA3cHVKVVBpZkdSTVpVcHQydnBteExfU3ZBaDM?oc=5,2026-08-21T03:10:24.960819+00:00
ba1d7fb8add094168ee9ad24,dishub,Dinas Perhubungan DIY,berita,ANTARA News Yogyakarta,"Jelang HUT RI, PLN UID Yogyakarta dan Dishub DIY tambah sebaran SPKLU - ANTARA News Yogyakarta. <a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxNSldBemlkVVhyeWZoa2w4QVdmcktQTXRnZHppOUM1S0tSdi1ZbVM0NmpxSk51cDY4aWR5TWViaEhSQXcycVk0VGFXNzVTZVpvMzA4R1FUaC1VMWp3UURTXzVWNDBfbmhHN0hpbkhqODFLal9OU2JjZHNoUU1KZnRLemNlaFZ0eUsxTl9CLWc0N0xhWWlSSHdrWDN6bVFvZjJud3F5a0F0WFVDMHdMU3JmdA?oc=5"" target=""_blank"">Jelang HUT RI, PLN UID Yogyakarta dan Dishub DIY tambah sebaran SPKLU</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ANTARA News Yogyakarta</font>",,2026-07-27T07:00:00+00:00,https://news.google.com/rss/articles/CBMisAFBVV95cUxNSldBemlkVVhyeWZoa2w4QVdmcktQTXRnZHppOUM1S0tSdi1ZbVM0NmpxSk51cDY4aWR5TWViaEhSQXcycVk0VGFXNzVTZVpvMzA4R1FUaC1VMWp3UURTXzVWNDBfbmhHN0hpbkhqODFLal9OU2JjZHNoUU1KZnRLemNlaFZ0eUsxTl9CLWc0N0xhWWlSSHdrWDN6bVFvZjJud3F5a0F0WFVDMHdMU3JmdA?oc=5,2026-08-21T03:10:24.960819+00:00
