id_ulasan,instansi_id,instansi_nama,sumber,penulis,teks,rating,tanggal,url,scraped_at
88aeefff4ab765955e91f74e,dispertaru,Dinas Pertanahan dan Tata Ruang DIY,berita,Badan Pengawasan Keuangan dan Pembangunan,"Badan Pengawasan Keuangan dan Pembangunan - Badan Pengawasan Keuangan dan Pembangunan. <a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxOYTVvcFZ4WjV5RGZwZHNIcmpxNkUyemZkSjlVVHgyWndGd1ZhMGh1WldtdDNuQlpKT2U4OVRUUTJxWl9sQm1uU01jOWdhbFZ6VGM3LWxsWGJmUXUzTWZJNVJKdk9oMmxZeEVfMUNhazFDdVhhME92VWc2S2xBdzQ1d2tsUVY5Ti15RlZUSFRRbWlzbjUtaEQxeF9HN09TNVNESUhTb2dZMnZJS1V5WVZJczVrOWhWRDRwTmJUaWJHa0ljZ0FNYkE?oc=5"" target=""_blank"">Badan Pengawasan Keuangan dan Pembangunan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Badan Pengawasan Keuangan dan Pembangunan</font>",,2026-08-11T04:01:22+00:00,https://news.google.com/rss/articles/CBMixgFBVV95cUxOYTVvcFZ4WjV5RGZwZHNIcmpxNkUyemZkSjlVVHgyWndGd1ZhMGh1WldtdDNuQlpKT2U4OVRUUTJxWl9sQm1uU01jOWdhbFZ6VGM3LWxsWGJmUXUzTWZJNVJKdk9oMmxZeEVfMUNhazFDdVhhME92VWc2S2xBdzQ1d2tsUVY5Ti15RlZUSFRRbWlzbjUtaEQxeF9HN09TNVNESUhTb2dZMnZJS1V5WVZJczVrOWhWRDRwTmJUaWJHa0ljZ0FNYkE?oc=5,2026-08-21T03:33:11.660196+00:00
54cdf52cb37c05e79021dfa2,dispertaru,Dinas Pertanahan dan Tata Ruang DIY,berita,Jogjaprov,"Detail Berita | Portal Resmi PEMDA DIY - Jogjaprov. <a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxNcDRhVzRKaU82QjJsaDZEUGJKNTNWUW9xNXZOeWtrWFc4UVNOVk1nRExfelZhOF9iY21SZzVWbHRnUlMxam1sTUdYT04tc2ppLTVsQWpYTHZSdkhpdDluSFJEVk5NcGpIUHNWcVpIcGdNZ1NfX0pmNFUxb2s5clVPS1c3SDhzaDdpTzlrTUI1SWd4Y0hvSEdERFRTdENGN3doSmNIYVlOVEpPbDE1RWxnTk1tenc1T3k1LVE?oc=5"" target=""_blank"">Detail Berita | Portal Resmi PEMDA DIY</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jogjaprov</font>",,2026-04-11T07:00:00+00:00,https://news.google.com/rss/articles/CBMiugFBVV95cUxNcDRhVzRKaU82QjJsaDZEUGJKNTNWUW9xNXZOeWtrWFc4UVNOVk1nRExfelZhOF9iY21SZzVWbHRnUlMxam1sTUdYT04tc2ppLTVsQWpYTHZSdkhpdDluSFJEVk5NcGpIUHNWcVpIcGdNZ1NfX0pmNFUxb2s5clVPS1c3SDhzaDdpTzlrTUI1SWd4Y0hvSEdERFRTdENGN3doSmNIYVlOVEpPbDE1RWxnTk1tenc1T3k1LVE?oc=5,2026-08-21T03:33:11.660196+00:00
35a2de45e8704c6374c2945e,dispertaru,Dinas Pertanahan dan Tata Ruang DIY,berita,Star Jogja FM,"Dispertaru DIY Tertibkan Pemanfaatan Tanah Kalurahan Maguwoharjo - Star Jogja FM. <a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxQeGVYVVVqMjVjSTBJODNmV3plUUlkNmFRd3V4YUZaWGNaRmtCNGg3ZThhd3J6UU9vdTlpb2M1a3NOOWtwWmgycnhFV0lydnBTLUlheVFTdG03c0lfbGdMWTBkSGw3RG5mbzF4azVGVlYzUTU2eTNmcVNKOEdFQndLaFF6UGNiZWV4Yno4S0J2eEhYSElXQTNubC11aFRabDhTaGhxSTdvQ1lzN1dqa2F3?oc=5"" target=""_blank"">Dispertaru DIY Tertibkan Pemanfaatan Tanah Kalurahan Maguwoharjo</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Star Jogja FM</font>",,2026-05-08T07:00:00+00:00,https://news.google.com/rss/articles/CBMirwFBVV95cUxQeGVYVVVqMjVjSTBJODNmV3plUUlkNmFRd3V4YUZaWGNaRmtCNGg3ZThhd3J6UU9vdTlpb2M1a3NOOWtwWmgycnhFV0lydnBTLUlheVFTdG03c0lfbGdMWTBkSGw3RG5mbzF4azVGVlYzUTU2eTNmcVNKOEdFQndLaFF6UGNiZWV4Yno4S0J2eEhYSElXQTNubC11aFRabDhTaGhxSTdvQ1lzN1dqa2F3?oc=5,2026-08-21T03:33:11.660196+00:00
3459647ad828cd69ed17d3d7,dispertaru,Dinas Pertanahan dan Tata Ruang DIY,berita,ANTARA News Yogyakarta,"Pemda DIY tanggapi adanya dugaan kasus korupsi TKD di Sleman - ANTARA News Yogyakarta. <a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxPNmNBZUFRY1BDLVRwQnB0aWs2NGFDNGp1eDJJRHhCcksybVZpOGJLTkN4OVlNSktUS2hPdkRYS3F0RE84d0VxWUlLX3U2SVlEbjUzang3QndPQVd3NFlOQXB0YnNtUnF5M05wU1BaWGdZckF3ekVSdU1Oamcxd0pzQUZNT2hDMEtFNHFzaW92RzZjUjE4VWs1VjFZdm96Z0xESlBWNTRn?oc=5"" target=""_blank"">Pemda DIY tanggapi adanya dugaan kasus korupsi TKD di Sleman</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ANTARA News Yogyakarta</font>",,2026-06-04T07:00:00+00:00,https://news.google.com/rss/articles/CBMipgFBVV95cUxPNmNBZUFRY1BDLVRwQnB0aWs2NGFDNGp1eDJJRHhCcksybVZpOGJLTkN4OVlNSktUS2hPdkRYS3F0RE84d0VxWUlLX3U2SVlEbjUzang3QndPQVd3NFlOQXB0YnNtUnF5M05wU1BaWGdZckF3ekVSdU1Oamcxd0pzQUZNT2hDMEtFNHFzaW92RzZjUjE4VWs1VjFZdm96Z0xESlBWNTRn?oc=5,2026-08-21T03:33:11.660196+00:00
d4aa0e87cd4ea77d68529b92,dispertaru,Dinas Pertanahan dan Tata Ruang DIY,berita,Kumparan.com,"Kasus Tanah Kas Desa: Lurah Condongcatur Juga Ditersangkakan oleh Kejati DIY - kumparan.com - Kumparan.com. <a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxPcGZqLXJkcXZzYjRsdlRvZ3dSb2tUdGtBQVZzWXZ3WTlmbm0tRDN1Qlh6aVN1SXdPMndWMExkWWtXcXF6UWZ3YU5oUXplRG9EQVdkUm1NZ2RjZDQxUDF5alJmX1EzblJ6QzI2Sm10ZTVySmhPbWF4cFRyeURjb3hFd1RTUmpLQk9iTVdwbFh6aUFYekVtSmN6TklLZ2lKMmFPd29lUU5LYVFna1JFWkgtVkt6ZXRwR3dzUzYxVTZB0gHGAUFVX3lxTE93a1lZdHhoWng1RmpHUmZyOXFXUDlCQjltVTNXSDFaYkZWTEFSd3ZKOHNSMlczVW82WHpxMFVrQU16Q0F1X3gyZmF2RFdzVWFGM0JMbmp5NmxIUG5Za0ZzUVVqTHkwNXlkWDh6TjdEbkZQR09aM3hwaExNbXlCVm02N1pUNjJrTDg1MGZ1djFrb1FwLUQ2YXFfaWtZTWdud1RQcmdpSXQzZHhQRldWS1ByanB4ZnE2aWtxNi1qWXdfa1hVLW0zZw?oc=5"" target=""_blank"">Kasus Tanah Kas Desa: Lurah Condongcatur Juga Ditersangkakan oleh Kejati DIY - kumparan.com</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kumparan.com</font>",,2026-06-30T07:00:00+00:00,https://news.google.com/rss/articles/CBMivgFBVV95cUxPcGZqLXJkcXZzYjRsdlRvZ3dSb2tUdGtBQVZzWXZ3WTlmbm0tRDN1Qlh6aVN1SXdPMndWMExkWWtXcXF6UWZ3YU5oUXplRG9EQVdkUm1NZ2RjZDQxUDF5alJmX1EzblJ6QzI2Sm10ZTVySmhPbWF4cFRyeURjb3hFd1RTUmpLQk9iTVdwbFh6aUFYekVtSmN6TklLZ2lKMmFPd29lUU5LYVFna1JFWkgtVkt6ZXRwR3dzUzYxVTZB0gHGAUFVX3lxTE93a1lZdHhoWng1RmpHUmZyOXFXUDlCQjltVTNXSDFaYkZWTEFSd3ZKOHNSMlczVW82WHpxMFVrQU16Q0F1X3gyZmF2RFdzVWFGM0JMbmp5NmxIUG5Za0ZzUVVqTHkwNXlkWDh6TjdEbkZQR09aM3hwaExNbXlCVm02N1pUNjJrTDg1MGZ1djFrb1FwLUQ2YXFfaWtZTWdud1RQcmdpSXQzZHhQRldWS1ByanB4ZnE2aWtxNi1qWXdfa1hVLW0zZw?oc=5,2026-08-21T03:33:11.660196+00:00
dbb738c3c6a916e37cdd07b2,dispertaru,Dinas Pertanahan dan Tata Ruang DIY,berita,Harian Jogja,"Penginapan Ilegal di Sadeng Ditutup Pemda DIY - Harian Jogja. <a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxQcHlIZ2o0SFBNVkotbkhkODVaUHNPcUpIdEZyTzEzUDV0R05CU3oxU2J4c0pHOWQ2NkQwQTNSOWIzaXZyNG1RS29TRGRkQzJUdDdMRmlOMF9WaTFNZUNtenVrN2Uyc21JSmxrNU9GMmFnSVdOSjlfUTYtUmUwVGZvSkwxdmxDZnFVTzNaTDFsMk1FZTNhdThr?oc=5"" target=""_blank"">Penginapan Ilegal di Sadeng Ditutup Pemda DIY</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Harian Jogja</font>",,2026-05-05T07:00:00+00:00,https://news.google.com/rss/articles/CBMilwFBVV95cUxQcHlIZ2o0SFBNVkotbkhkODVaUHNPcUpIdEZyTzEzUDV0R05CU3oxU2J4c0pHOWQ2NkQwQTNSOWIzaXZyNG1RS29TRGRkQzJUdDdMRmlOMF9WaTFNZUNtenVrN2Uyc21JSmxrNU9GMmFnSVdOSjlfUTYtUmUwVGZvSkwxdmxDZnFVTzNaTDFsMk1FZTNhdThr?oc=5,2026-08-21T03:33:11.660196+00:00
df0f073e06a2d10e1d9f8d02,dispertaru,Dinas Pertanahan dan Tata Ruang DIY,berita,Kompas.id,"Terima Gratifikasi, Bekas Kadis Pertanahan DIY Divonis 4 Tahun Penjara - Kompas.id. <a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxQaWFtckZQNWFuTnplSE91WWE2NElpckV1T1Y2UXdCQklmSFJrRTJnVDdpM2V4cVVKRmFDemViSmNVRS1JVkIybnFjOHBvZGZXcmtuRlVxc2JnWlhzZm9xUlZTaHZxSWlRQ3RVQ2g5Y0xzVVlteEhNbndMazBuUnJydEhOZkdkM1RMM2tfT3RXYVdBREszLXh6UlBNTXJka1lqbWc?oc=5"" target=""_blank"">Terima Gratifikasi, Bekas Kadis Pertanahan DIY Divonis 4 Tahun Penjara</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kompas.id</font>",,2024-03-06T08:00:00+00:00,https://news.google.com/rss/articles/CBMiogFBVV95cUxQaWFtckZQNWFuTnplSE91WWE2NElpckV1T1Y2UXdCQklmSFJrRTJnVDdpM2V4cVVKRmFDemViSmNVRS1JVkIybnFjOHBvZGZXcmtuRlVxc2JnWlhzZm9xUlZTaHZxSWlRQ3RVQ2g5Y0xzVVlteEhNbndMazBuUnJydEhOZkdkM1RMM2tfT3RXYVdBREszLXh6UlBNTXJka1lqbWc?oc=5,2026-08-21T03:33:11.660196+00:00
e8b6a09326b9f1e276f4887a,dispertaru,Dinas Pertanahan dan Tata Ruang DIY,berita,detikcom,"Kepala Dispertaru DIY Krido Suprayitno Jadi Tersangka Mafia Tanah Kas Desa - detikcom. <a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOdzhyVk10RW5vTmtmc0dkMmVzSU5kMmJMV2MtMmExR1I2d1I5WTFrUk9wNUszZHQwNjVDa3pKNDJzLUtEWWRjU1lHNFRodHVEanJYS05MU0dwX3RycFBsb2Y5VC1fbUk5SUFEUlBqMXRfUm1mTE90R0xEWDhNSE9OQ0l6c2djRDJBbFNySlVCVWwzYVpNbjcyTjA2ZnlBWnNERFEwbDJrcXBiN1IwZ1Y0NTlaM09IMzFfVmU00gHAAUFVX3lxTE9RQWctRWtRbFU4Mkt4ZHI0OXl4UHRTZmRpQnJLWmxvWTRxTGg2NFVGZlZNLVdMSUhaTzNkVXJ5MS1fZ0dPUG9jckdFUnk4ZDFVZEV2X01yS01vbnl1RDAwOHdvT1RNVU5DdXBDb0xaZERzamVSTl9vcWZCVXRHWFRJbDJSR1hVempISXh0YlRpbl9KZndzRnhjajJzZ0VORXgzV0FhR0Nhb3Y3Q2tPdWVlVmNXOU5YX01OYUJaalphcg?oc=5"" target=""_blank"">Kepala Dispertaru DIY Krido Suprayitno Jadi Tersangka Mafia Tanah Kas Desa</a>&nbsp;&nbsp;<font color=""#6f6f6f"">detikcom</font>",,2023-07-17T07:00:00+00:00,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOdzhyVk10RW5vTmtmc0dkMmVzSU5kMmJMV2MtMmExR1I2d1I5WTFrUk9wNUszZHQwNjVDa3pKNDJzLUtEWWRjU1lHNFRodHVEanJYS05MU0dwX3RycFBsb2Y5VC1fbUk5SUFEUlBqMXRfUm1mTE90R0xEWDhNSE9OQ0l6c2djRDJBbFNySlVCVWwzYVpNbjcyTjA2ZnlBWnNERFEwbDJrcXBiN1IwZ1Y0NTlaM09IMzFfVmU00gHAAUFVX3lxTE9RQWctRWtRbFU4Mkt4ZHI0OXl4UHRTZmRpQnJLWmxvWTRxTGg2NFVGZlZNLVdMSUhaTzNkVXJ5MS1fZ0dPUG9jckdFUnk4ZDFVZEV2X01yS01vbnl1RDAwOHdvT1RNVU5DdXBDb0xaZERzamVSTl9vcWZCVXRHWFRJbDJSR1hVempISXh0YlRpbl9KZndzRnhjajJzZ0VORXgzV0FhR0Nhb3Y3Q2tPdWVlVmNXOU5YX01OYUJaalphcg?oc=5,2026-08-21T03:33:11.660196+00:00
630b9876a7555f9cfc2f414a,dispertaru,Dinas Pertanahan dan Tata Ruang DIY,berita,VIVA.co.id,"Kantor Dinas Pertanahan dan Tata Ruang DIY Digeledah Penyidik Kejati DIY - VIVA.co.id. <a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPc1UwS2V6UmRrMlZ3WUtNRjNTcm9DYU9qYkY5enRma045dGhmVEREZThVdHVuMGlueloxU3B6a0RLRS1NRmNZSmYtdDNmWTZYVURPejhWMVZBUUwxYXNaTGFvSmtFcm81V3BENFJ5YjRnRkdDRFBjMW5qakc0cFFkY0xkN1AwT1ZXOU85NVE3Mkloc2JHWTBrOW5EdTRHR2Z3R2g5eTlnR3ZBR1pSN3hpTTd4VW96STJsSUUw0gHAAUFVX3lxTFBGRDM4NG4wS2FYUHYzT3JJV1BxamQ0NjU3QTJVdS1LYldIai1XUGNDQXJtQVFJVndaM2Y3NFZlT2hzUjZfRV9NVEM2ZWRBTmtkQmhVY21tZmNPUHRyVDRwVVhnRjJTUFh2dXVYLURtTlI0dTltcF9lUTJYeTQ1a2RxQzAxOHlRYnRMUmt4Vk5tSnhpVWlROUdZTUgzZjV0Njd4R3ZlRzhZd29kbUFuQUZJSTdvLUR4RWJtaUhXOVotSQ?oc=5"" target=""_blank"">Kantor Dinas Pertanahan dan Tata Ruang DIY Digeledah Penyidik Kejati DIY</a>&nbsp;&nbsp;<font color=""#6f6f6f"">VIVA.co.id</font>",,2023-07-12T07:00:00+00:00,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPc1UwS2V6UmRrMlZ3WUtNRjNTcm9DYU9qYkY5enRma045dGhmVEREZThVdHVuMGlueloxU3B6a0RLRS1NRmNZSmYtdDNmWTZYVURPejhWMVZBUUwxYXNaTGFvSmtFcm81V3BENFJ5YjRnRkdDRFBjMW5qakc0cFFkY0xkN1AwT1ZXOU85NVE3Mkloc2JHWTBrOW5EdTRHR2Z3R2g5eTlnR3ZBR1pSN3hpTTd4VW96STJsSUUw0gHAAUFVX3lxTFBGRDM4NG4wS2FYUHYzT3JJV1BxamQ0NjU3QTJVdS1LYldIai1XUGNDQXJtQVFJVndaM2Y3NFZlT2hzUjZfRV9NVEM2ZWRBTmtkQmhVY21tZmNPUHRyVDRwVVhnRjJTUFh2dXVYLURtTlI0dTltcF9lUTJYeTQ1a2RxQzAxOHlRYnRMUmt4Vk5tSnhpVWlROUdZTUgzZjV0Njd4R3ZlRzhZd29kbUFuQUZJSTdvLUR4RWJtaUhXOVotSQ?oc=5,2026-08-21T03:33:11.660196+00:00
ecb3d2817ac9972d2c17c230,dispertaru,Dinas Pertanahan dan Tata Ruang DIY,berita,Website DJKN,"Website DJKN - Website DJKN. <a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxNc3hySFB0blVMeTBfNl9KSklBRnVGOHFrSE9NUFF4czBISEtfMFNkVlZTa0RjcnZjZW5seWtOTVZDb1hrN3Q1Sm9DRXFJamY0V3kzMlNxQWNURzQ4djZLd2NHUlVld1VNU0tuRjJKX3JBQlVXS0JqWXQ2dm1LYnBYV0ZiWlVHTUNuQl95OFVpYjB6dG93ZzIzV2xUbDRmZmFoTHJGbWtKbHJIa3Q4VS1RQkNiUTJWM0xNNml2VzliS2pKenFjTnMzZTI3andWOVBrdFRGdmg4Qk84WGhja2ZXQVU3ODJhMm1uZnoyR0VYYUQxTk10c2lkcjMtTl8?oc=5"" target=""_blank"">Website DJKN</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Website DJKN</font>",,2022-10-05T07:00:00+00:00,https://news.google.com/rss/articles/CBMi_AFBVV95cUxNc3hySFB0blVMeTBfNl9KSklBRnVGOHFrSE9NUFF4czBISEtfMFNkVlZTa0RjcnZjZW5seWtOTVZDb1hrN3Q1Sm9DRXFJamY0V3kzMlNxQWNURzQ4djZLd2NHUlVld1VNU0tuRjJKX3JBQlVXS0JqWXQ2dm1LYnBYV0ZiWlVHTUNuQl95OFVpYjB6dG93ZzIzV2xUbDRmZmFoTHJGbWtKbHJIa3Q4VS1RQkNiUTJWM0xNNml2VzliS2pKenFjTnMzZTI3andWOVBrdFRGdmg4Qk84WGhja2ZXQVU3ODJhMm1uZnoyR0VYYUQxTk10c2lkcjMtTl8?oc=5,2026-08-21T03:33:11.660196+00:00
