Ci9DQUlRQUNvZENodHljRjlvT25Gc2IzSjBlVXR2WlVGVVNVSm5kSFl4WkVKTVEwRRAB,Telur Asin Oven,5,⭐⭐⭐⭐⭐,2 minggu lalu,"Tiap jumat ada pasar tani..wadah utk umkm jualan produknya.
👍 …"
ChdDSUhNMG9nS0VJQ0FnSURBMVlUYnJRRRAB,Hangesti,4,⭐⭐⭐⭐,9 tahun lalu,"Kantor yang mengurusi pertanian di DIY. Gedungnya megah. Tiap jumat pagi ada bazar, menyajikan hasil pertanian, anggrek, dll."
Ci9DQUlRQUNvZENodHljRjlvT21samVFWjZVVEp1Wkc1ZlNtMXhXR1ZmVUVOME4zYxAB,Fadhillah Akbar,5,⭐⭐⭐⭐⭐,4 bulan lalu,Tempat yang nyamann untuk berkonsultasi dan menanyakan informasi mengenai pertanian
ChdDSUhNMG9nS0VJQ0FnSUNnMU5DejRnRRAB,Citra Nurwinda,4,⭐⭐⭐⭐,8 tahun lalu,"Lokasi di timur mandala krida. Sering mengadakan acara kedinasan. Pegawainya ramah2. Banyak pohon buah di halaman depan, suasana jadi sejuk. Ditambah lagi halamannya bersih. Kalau beruntung bisa motek kepel, jambu, sirsak, srikaya, atau …"
ChdDSUhNMG9nS0VJQ0FnSUN3X2FpUXVnRRAB,ifit 888,5,⭐⭐⭐⭐⭐,7 tahun lalu,"Pelayanan ramah, baik, tempat bersih.
..🙏🏻🤙🏻 …"
ChZDSUhNMG9nS0VJQ0FnSUR6MDUyblZ3EAE,aprilia mahanani,5,⭐⭐⭐⭐⭐,2 tahun lalu,"Salah satu gedung pemerintahan provinsi.
Gedung luas, bersih dengan area parkir yang luas baik untuk kendaraan roda dua maupun roda empat. …"
ChZDSUhNMG9nS0VJQ0FnSURlNHRTdUdnEAE,drg. Amelia Elizabeth SpBMM,5,⭐⭐⭐⭐⭐,3 tahun lalu,"Alhamdulillah dimudahkan sekali mengurus pengiriman anabul dari papua ke DIY. Terima kasih bapak Setya telah membantu dokumen pemindahan hewan peliharaan. Semoga budi baik bapak dibalas Allah SWT, hidupnya selalu berkah dan dirahmati …"
ChdDSUhNMG9nS0VJQ0FnSUR5bU15QTBRRRAB,Yohanes Fabians Klathax,4,⭐⭐⭐⭐,5 tahun lalu,"Tenang, nyaman, petugasnya ramah"" dan mau memberi arahan / bimbingan agar lbh baik semuanya.
Maturnuwun untuk kepeduliannya kepada kami kaum tani 🙏
Sehat dan sukses selalu kagem semua pengurus, Aamiin 🙏🙏 …"
ChdDSUhNMG9nS0VJQ0FnSUNXMTlySTR3RRAB,Anastasia Rini,5,⭐⭐⭐⭐⭐,4 tahun lalu,"Tempat menarik
Kunjungan pertama
Acara sosialisasi b2sa dan edukasi pemanfaatan food waste. …"
ChZDSUhNMG9nS0VJQ0FnSUNBcnFQWUVBEAE,erdi gunawan,4,⭐⭐⭐⭐,8 tahun lalu,"Hari Pangan, dinas pertanian DIY"
ChdDSUhNMG9nS0VJQ0FnSURJdXNtTXpnRRAB,Antieq Dixie,5,⭐⭐⭐⭐⭐,7 tahun lalu,Kami melakukan kegiatan usaha dr hasil pertanian dan olahan..makanan dan jamu....di setiap jumat dr jam 07 pg sampai 11 siyang... Nama kegiatan kami ASPARTAN
ChdDSUhNMG9nS0VJQ0FnSUN5djRfbTd3RRAB,Rudi Abat,4,⭐⭐⭐⭐,5 tahun lalu,"Tempatnya dekat mandala krida, pelayanan baik."
ChZDSUhNMG9nS0VJQ0FnSUMxb3RYVmZ3EAE,Afeb Maulana,5,⭐⭐⭐⭐⭐,2 tahun lalu,Kantor pemerintahan yang membidangi tentang pertanian yang mencakup kewenangan tingkat Propinsi khusus Daerah Istimewa Yogyakarta
Ci9DQUlRQUNvZENodHljRjlvT2xOMWNYWlFWa2g2ZWw5eVoweHlWVmQwWDBsU2VsRRAB,rahasia hati,1,⭐,6 bulan lalu,GA RAMAH
ChZDSUhNMG9nS0VJQ0FnSUNzamV1LWFREAE,Iswahyudi,5,⭐⭐⭐⭐⭐,6 tahun lalu,"Pelayanan ramah , langsung di tangani dengan cepat , cukup responsif
Area parkir kantor cukup luas ,
Lokasi kantor cukup strategis"
ChdDSUhNMG9nS0VJQ0FnSUNxeWZuTl93RRAB,Aprilian Tas,5,⭐⭐⭐⭐⭐,5 tahun lalu,terima kasih kepada dpkp diy yang sudah berlangganan kepada kami.. semoga semakin sukses kedepannya..
ChdDSUhNMG9nS0VJQ0FnSURTMDZ2QXhRRRAB,zukirallahu abdul karim,3,⭐⭐⭐,5 tahun lalu,Disini bisa buat surat rekom hewan tdk ya? Buat pengiriman ke luar pulau
ChZDSUhNMG9nS0VJQ0FnSUQyMGY2MlVBEAE,Effendi Achmed,4,⭐⭐⭐⭐,4 tahun lalu,Organisasi pemetintah yang ramah dan tanggap dalam melayani masyarakat. Terima kasih
