ChZDSUhNMG9nS0VJQ0FnSURJbUpiOE5REAE,Edi Patmini Setya Siswanti,4,⭐⭐⭐⭐,7 years ago,This is  government office who work for the woman wellbeing. They have many program and also stimulate other government and non government to work together to reach the goal …
ChdDSUhNMG9nS0VJQ0FnSURZczd2WDFBRRAB,Aira Aydin Ruangroj,5,⭐⭐⭐⭐⭐,7 years ago,"So far, it is the only govt office in Jogja that has accessibilty for all: preggo and breastfeeding ladies, elderly, kiddos, and people with special needs. Kudos for you, BPPM (DP3AP2), I hope other offices follow suit, asap!"
ChZDSUhNMG9nS0VJQ0FnSUNRMWZUX0pREAE,Chimoy Journal,3,⭐⭐⭐,8 years ago,"Near Janabadra University, new building, hospitalize crew inside"
ChdDSUhNMG9nS0VJQ0FnSUNJanRQOW93RRAB,RY Channel,5,⭐⭐⭐⭐⭐,7 years ago,like
ChZDSUhNMG9nS0VJQ0FnSURVZzVHT2ZREAE,Arif Nasiruddin,5,⭐⭐⭐⭐⭐,Edited a year ago,"The Yogyakarta Special Region Office of Women's Empowerment, Child Protection, and Population Control. The office oversees women's empowerment, child protection, and population control at the provincial level in the Special Region of …"
ChdDSUhNMG9nS0VJQ0FnSUNZMDV2RC1RRRAB,Faida Zuhria,5,⭐⭐⭐⭐⭐,7 years ago,"This office is located on a main road, parallel to Janabadra University. The rooms are comfortable and clean, the staff is cooperative and friendly, and the service is satisfactory."
ChdDSUhNMG9nS0VJQ0FnSUR1cGNUWGhnRRAB,Dede Apriyanto,5,⭐⭐⭐⭐⭐,Edited 2 years ago,"Steadfaster, more resilient

SOS audience with DP3AP2 DIY"
ChZDSUhNMG9nS0VJQ0FnSUNLd0xiR1RnEAE,Rudi Abat,3,⭐⭐⭐,5 years ago,"DIY Women's Empowerment, Child Protection and Population Control Service"
Ci9DQUlRQUNvZENodHljRjlvT25KMU1WSnhZMjFYY2xoaE1GaDJjRlpoWlhKbldFRRAB,Isi Jiwa,5,⭐⭐⭐⭐⭐,7 months ago,"MOLIN (protection car) is very helpful, salute to the DP3AP2 DIY service, willing to pick up clients even in remote areas"
ChdDSUhNMG9nS0VJQ0FnSUNndFBEZG1nRRAB,Sri Puji Astuti,5,⭐⭐⭐⭐⭐,Edited 4 years ago,"The new building, built around 2019, is very comfortable and tidy. The security staff are friendly and polite when welcoming guests. There's a library that's accessible to the public, and the space is quiet. There's free Wi-Fi for guests. Hopefully, this will continue to improve."
Ci9DQUlRQUNvZENodHljRjlvT21sbWIwaHNNRFp1Vm5keFZuZFRUVmhWYkZaSU1FRRAB,Maraa Haryani,5,⭐⭐⭐⭐⭐,a year ago,"a good place for public service, highly recommended to help resolve problems related to this service."
ChdDSUhNMG9nS0VJQ0FnSUNJaGZIWW9RRRAB,Alfian Rifqi,5,⭐⭐⭐⭐⭐,7 years ago,"A regional government agency in the Special Region of Yogyakarta (DIY) that handles women's empowerment and child protection, as well as village community empowerment. …"
ChZDSUhNMG9nS0VJQ0FnSURoaDkzV0JREAE,Ari Smartcontinue,5,⭐⭐⭐⭐⭐,3 years ago,MASSYALLAH THE PLACE IS COOL
ChZDSUhNMG9nS0VJQ0FnSURneFlxbVJnEAE,Sulistiya Nuryahya,5,⭐⭐⭐⭐⭐,8 years ago,"Good service, a place where you can consult about women and children protection issues, as well as being a place where the YOGYAKARTA REGIONAL CHILDREN'S FORUM gathers, a comfortable place, there are facilities for the disabled, ample parking"
ChZDSUhNMG9nS0VJQ0FnSUNvMXFMVFBREAE,Reza p,4,⭐⭐⭐⭐,7 years ago,"There is a rental and photocopy shop nearby, which is very helpful for refunding train tickets because it is near Tugu station."
ChdDSUhNMG9nS0VJQ0FnSUNRbVAyXzFRRRAB,Ghazz Max,5,⭐⭐⭐⭐⭐,8 years ago,New building in front of the building at night there is Bu Sad's stall which is busy with customers with cheap prices and quite good taste
ChZDSUhNMG9nS0VJQ0FnSURBLWJxdkNREAE,Hasnanto Fatha,4,⭐⭐⭐⭐,8 years ago,comfortable for meeting activities...
ChZDSUhNMG9nS0VJQ0FnSUNRbGJ2blJBEAE,atika mps,2,⭐⭐,Edited 8 years ago,DIY government office...with women and children protection services
ChdDSUhNMG9nS0VJQ0FnSUNJd2ZHVTl3RRAB,Tomy Darlinanto,5,⭐⭐⭐⭐⭐,7 years ago,A department with many duties and responsibilities. It doesn't have a parking lot.
ChZDSUhNMG9nS0VJQ0FnSURZcDlIeUl3EAE,Hafiizh Rayhan Wijaya,5,⭐⭐⭐⭐⭐,7 years ago,Comfortable place
ChZDSUhNMG9nS0VJQ0FnSURFLXBmQUtBEAE,Muhammad Rifa'i,5,⭐⭐⭐⭐⭐,7 years ago,DIY Population Control Coordination Meeting
ChZDSUhNMG9nS0VJQ0FnSUM0Z3NUYVZREAE,Eko Ashari,4,⭐⭐⭐⭐,7 years ago,Population Control and Family Planning Service of DIY Province
ChZDSUhNMG9nS0VJQ0FnSURnaGF6TmVBEAE,gandhi majenun,5,⭐⭐⭐⭐⭐,8 years ago,Coordination place for village community empowerment
ChZDSUhNMG9nS0VJQ0FnSUM0LU1fcGRnEAE,Ajik Gunawan Purwoko,4,⭐⭐⭐⭐,7 years ago,Government agencies for the protection of women
ChZDSUhNMG9nS0VJQ0FnSUN3MXYtR0lnEAE,Ahmad Agus Mahfud,5,⭐⭐⭐⭐⭐,8 years ago,"Good, empowering communities and women."
ChdDSUhNMG9nS0VJQ0FnSUQ5eFozZWl3RRAB,fan diesel,5,⭐⭐⭐⭐⭐,2 years ago,"satisfactory service, fast"
ChZDSUhNMG9nS0VJQ0FnSUNRaUtfa0JREAE,muh rizal syarifudin,5,⭐⭐⭐⭐⭐,8 years ago,Be strong
ChdDSUhNMG9nS0VJQ0FnSUN3Xy0tYWxnRRAB,Muhammad Fachri,5,⭐⭐⭐⭐⭐,7 years ago,This office is easy to reach and convenient.
ChdDSUhNMG9nS0VJQ0FnSUN3a1lXVmpnRRAB,Pradita Nurmaya,5,⭐⭐⭐⭐⭐,8 years ago,The coolest DIY Regional Government Office...
ChdDSUhNMG9nS0VJQ0FnSUNJeWJ2Z2lnRRAB,yuyudada 24,5,⭐⭐⭐⭐⭐,7 years ago,"the place is nice, the service too"
ChdDSUhNMG9nS0VJQ0FnSURBcHRTMjdBRRAB,Mar Wanto,4,⭐⭐⭐⭐,8 years ago,Women's Protection and Community Empowerment
ChZDSUhNMG9nS0VJQ0FnSUN3MDUtT0t3EAE,lela hanuman,5,⭐⭐⭐⭐⭐,8 years ago,protect women like me
ChZDSUhNMG9nS0VJQ0FnSURJanNyR0tREAE,Ramanelovy,4,⭐⭐⭐⭐,7 years ago,PC & Printer Service
ChZDSUhNMG9nS0VJQ0FnSUNnZzlubUtnEAE,Ni Mas,5,⭐⭐⭐⭐⭐,8 years ago,New and comfortable building
ChdDSUhNMG9nS0VJQ0FnSUNRNFozajF3RRAB,mata tari,4,⭐⭐⭐⭐,7 years ago,Accessible but less secure..
ChdDSUhNMG9nS0VJQ0FnSUNnaTRfUHd3RRAB,hans hanafiah,5,⭐⭐⭐⭐⭐,10 years ago,BUMDES Training Place
ChZDSUhNMG9nS0VJQ0FnSURPaDdpOUZREAE,khaerunnisa 88,5,⭐⭐⭐⭐⭐,4 years ago,Friendly
ChdDSUhNMG9nS0VJQ0FnSURnLThEMTZnRRAB,Bambang Praswanto.,3,⭐⭐⭐,8 years ago,Normal
ChZDSUhNMG9nS0VJQ0FnSURZdnJUWEZBEAE,DARMAWAN TIYANG JOGJA,5,⭐⭐⭐⭐⭐,7 years ago,Meeting
ChZDSUhNMG9nS0VJQ0FnSUNnekxmSlNnEAE,KANAYAKENEYA,5,⭐⭐⭐⭐⭐,10 years ago,Spirit
ChdDSUhNMG9nS0VJQ0FnSUNBakt5STZnRRAB,jogja wisataku,5,⭐⭐⭐⭐⭐,8 years ago,very good
ChZDSUhNMG9nS0VJQ0FnSUNJdDZxd0V3EAE,WS Kawuryan,4,⭐⭐⭐⭐,7 years ago,P3MD Coordination Meeting
ChdDSUhNMG9nS0VJQ0FnSUM1d3E2MDVnRRAB,Agus Prasetya,5,⭐⭐⭐⭐⭐,2 years ago,Yess
Ci9DQUlRQUNvZENodHljRjlvT25nNVlUZzJNblJPWW1ndE9HTm1hRk01WTNWdllVRRAB,Muk Tasit,5,⭐⭐⭐⭐⭐,4 days ago,      NEW
Ci9DQUlRQUNvZENodHljRjlvT2xGdlZXVjNNSFZGWWxOT1YxQlBVR3hYZUZSVFIwRRAB,Sherina Bila,5,⭐⭐⭐⭐⭐,a month ago,1 review      
ChZDSUhNMG9nS0VJQ0FnSUN6Mkk3N1hBEAE,nq vanser,5,⭐⭐⭐⭐⭐,2 years ago,3 reviews · 9 photos      
ChZDSUhNMG9nS0VJQ0FnSURUMVk2UkR3EAE,Tour Of Java,5,⭐⭐⭐⭐⭐,2 years ago,     
ChZDSUhNMG9nS0VJQ0FnSUMtaE9YalNREAE,Abhinaya Batique,5,⭐⭐⭐⭐⭐,3 years ago,     
ChdDSUhNMG9nS0VJQ0FnSURteDV5RjZnRRAB,Rukmi Nie nie,5,⭐⭐⭐⭐⭐,4 years ago,2 reviews      
ChZDSUhNMG9nS0VJQ0FnSURzenNQblhnEAE,Lulu Kendrastika,5,⭐⭐⭐⭐⭐,6 years ago,     
ChZDSUhNMG9nS0VJQ0FnSURzenZYNkV3EAE,Yani Siti muryani,5,⭐⭐⭐⭐⭐,6 years ago,6 reviews      
ChZDSUhNMG9nS0VJQ0FnSURzN09xWFl3EAE,Tita Nurafifah,5,⭐⭐⭐⭐⭐,6 years ago,1 review · 3 photos      
ChZDSUhNMG9nS0VJQ0FnSUQwMTh5dEFREAE,Haryani Arkha,5,⭐⭐⭐⭐⭐,6 years ago,     
ChdDSUhNMG9nS0VJQ0FnSURFcF95Y25RRRAB,Yuda Basuki,5,⭐⭐⭐⭐⭐,7 years ago,     
ChdDSUhNMG9nS0VJQ0FnSUNFN0pmLTZ3RRAB,Melia Agustina,5,⭐⭐⭐⭐⭐,7 years ago,     
ChZDSUhNMG9nS0VJQ0FnSUM0dGVta01BEAE,Olviyana Rachmaning,4,⭐⭐⭐⭐,7 years ago,     
ChZDSUhNMG9nS0VJQ0FnSUM0aU83c0d3EAE,Wawan Andriyanto,4,⭐⭐⭐⭐,7 years ago,     
ChZDSUhNMG9nS0VJQ0FnSURZcmFpbENREAE,Joe Surya,4,⭐⭐⭐⭐,7 years ago,5 reviews · 3 photos      
ChZDSUhNMG9nS0VJQ0FnSURvb05ESkpnEAE,Tien Agustina,5,⭐⭐⭐⭐⭐,Edited 7 years ago,     
ChZDSUhNMG9nS0VJQ0FnSUNvNi11YklBEAE,Fellix Yuli Setiawan,5,⭐⭐⭐⭐⭐,7 years ago,     
ChZDSUhNMG9nS0VJQ0FnSUNvOXRUcEtBEAE,Navyan Moko,5,⭐⭐⭐⭐⭐,7 years ago,     
ChZDSUhNMG9nS0VJQ0FnSUNJazlyMlVREAE,Nining Tung,5,⭐⭐⭐⭐⭐,7 years ago,     
ChZDSUhNMG9nS0VJQ0FnSUNJemZ1bklnEAE,Priyanti Farida,4,⭐⭐⭐⭐,7 years ago,     
ChdDSUhNMG9nS0VJQ0FnSURRcWYyajdnRRAB,Risa Nur Andriyani,5,⭐⭐⭐⭐⭐,8 years ago,     
ChdDSUhNMG9nS0VJQ0FnSURBN1Bpejd3RRAB,A.m F.m,2,⭐⭐,8 years ago,     
